zkratka,katedra,rok,nazev,nazevDlouhy,maVyuku,vyukaZS,vyukaLS,jakCastoJeNabizen,jakCastoJeNabizenUpresneni,kreditu,viceZapis,minObsazeni,garanti,garantiSPodily,garantiUcitIdno,prednasejici,prednasejiciSPodily,prednasejiciUcitIdno,cvicici,cviciciSPodily,cviciciUcitIdno,seminarici,seminariciSPodily,seminariciUcitIdno,schvalujiciUznani,schvalujiciUznaniUcitIdno,examinatori,examinatoriUcitIdno,podminujiciPredmety,vylucujiciPredmety,podminujePredmety,literatura,nahrazPredmety,metodyVyucovaci,metodyHodnotici,akreditovan,jednotekPrednasek,jednotkaPrednasky,jednotekCviceni,jednotkaCviceni,jednotekSeminare,jednotkaSeminare,anotace,typZkousky,maZapocetPredZk,formaZkousky,pozadavky,prehledLatky,predpoklady,ziskaneZpusobilosti,casovaNarocnost,predmetUrl,vyucovaciJazyky,poznamka,ectsZobrazit,ectsAkreditace,ectsNabizetUPrijezdu,poznamkaVerejna,skupinaAkreditace,skupinaAkreditaceKey,zarazenDoPrezencnihoStudia,zarazenDoKombinovanehoStudia,studijniOpory,praxePocetDnu,urovenNastavena,urovenVypoctena,automatickyUznavatZppZk,hodZaSemKombForma,semestr,pocetStudentu,aMax,bMax,cMax,aSkut,bSkut,cSkut
ENME,KI,2024,Numerical Methods,Numerical Methods,A,A,A,K,"",7,NO,"","'prof. Sergii Babichev, DSc.'","'prof. Sergii Babichev, DSc.'",3416,"'prof. Sergii Babichev, DSc.', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 650, 2220","'prof. Sergii Babichev, DSc.', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 650, 2220","","","","","","","","","","","","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,Introduction to numerical mathematics for students of computer science.,Exam,NO,Combined,"Basic from linear algebra (vectors, matrices, vector spaces) and  analysis.","1. Function approximation, Lagrange interpolation 
2. Definition of spline function, interpolation via spline-construction, derivation 
3. Numerical quadrature, Newton-Cotes rules 
4. Romberg's quadrature method, Gaussian quadrature rules 
5. Method for nonlinear equations, Newton's (Newton-Rhapson) method 
6. Fixed point method, root finding for polynomials, Horner scheme 
7. System of linear equation, conditional number, Gaussian elimination 
8. LU factorization, Cholesky and QR factorization 
9. Basic iterative methods for the solution of linear algebraic equations 
10. Eigenvalues of matrix, power method 
11. Numerical solution of ODE, one step methods, Runge-Kutta methods 
12. Gradient methods 
","","","","",English,"",A,N,A,2/2 per week,"","",N,N,"",0,"","",A,0,LS,0,"","","",0,0,0
FIS,KI,2024,Project Management and Enterprise IS,Project Management and Enterprise Information Systems,A,N,A,K,"",4,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"'RNDr. Jiří Škvor, Ph.D.', 'Ing. Štěpánka Zimová'","'RNDr. Jiří Škvor, Ph.D.' (100), 'Ing. Štěpánka Zimová' (100)","2220, 7352","'RNDr. Jiří Škvor, Ph.D.', 'Ing. Štěpánka Zimová'","'RNDr. Jiří Škvor, Ph.D.' (100), 'Ing. Štěpánka Zimová' (100)","2220, 7352","","","","","","","",KI/MIS,"",KI/PROJ,"'DVOŘÁK D., SIRŮČEK J., KALIŠ J.: . Mistrovství v Microsoft Project 2010. Praha, 2011. ISBN 9788025130742.',
'SCHWALBE K.: . Řízení projektů v IT. Praha, 2011. ISBN 9788025130759.',
'Taylor J. Začínáme řídit projekty. Computer Press, Praha, 2007. ISBN 978-80-251-1759-0.',
'SVOZILOVÁ A.: . Projektový management 2. Praha, 2011. ISBN 978-80-247-3611-2.',
'DVOŘÁK D., MAREČEK M., RÉPAL M.: . Řízení portfolia projektů. Praha, 2011. ISBN 9788025130759.',
'BARBEE D.: . 97 klíčových znalostí projektového manažera. Praha, 2010. ISBN 9788025128541.'","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Course deals with the development of project management standards, in particular knowledge standards PMBOK and PRINCE2. The focus is on concepts, principles and techniques used in the various phases of the project including the strategic orientation and networking methods used in the project. The aim is also to clarify the development, relationships and views on individual corporate information systems, demonstrate the methods, principles and tools.",Pre-Exam Credit,NO,Combined,"Active participation in seminars: min. 80%.
Presentation delivered on exercise.
5 pages seminar work.
Combined exam.
The requirements will be specified at the first lecture.","1. The characteristics of the project - the principles, objectives, principles, properties and characteristics of the project.
2. Overview of the PMBOK knowledge areas and process groups, project cycle, IPMA Competence Baseline-competence, group, area, the certification process.
3. The PRINCE2 overview knowledge areas and process groups, comparison of the standards.
4. The selected processes, project management, group interaction, management processes and stages of the projects, the organizational structure of the project.
5. Strategic situational analysis projects - meaning, structure, analysis, methods.
6. The SWOT analysis and the logical framework method - principle, realization, usage.
7. Network methods in the planning phase of the project - network diagrams, relationships. CPM - principle, method of implementation, calculations.
8. The PERT Method - principle, realization, comparisons, calculations, and a practical solution analyses and methods, creation of scenarios, planning resources, the search for reserves, Gantt charts.
9. MS Project - basic orientation, editing of data, the search for the critical path.
10. The evaluation of the model of the project, preparation of analyses, an estimate of the resources constraint, the calculation of the critical path.
11. The corporate system in the environment of the company.
12. The functionality and data view of the corporate information systems.
13. The procedural view of the corporate information system.
14. The supply and the trends in corporate information systems and the importance of e-business.","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
KAVD,KI,2024,Data Analysis and Visualisation,Data Analysis and Visualisation,A,N,A,K,"",4,NO,"","'prof. Sergii Babichev, DSc.'","'prof. Sergii Babichev, DSc.' (100)",3416,"'prof. Sergii Babichev, DSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 3521, 2220","'prof. Sergii Babichev, DSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 3521, 2220","","","","","","","",KI/KMSW,"","","'null',
'Popelka J., Synek V. Úvod do statistické analýzy dat. Ústí nad Labem, 2009. ISBN 978-80-7414-117-1.',
'Hlavač V., Sedláček M. Zpracování signálů a obrazů. Praha: ČVUT, 2007. ISBN 978-80-01-03110-0.',
'R Documentation. ',
'http://meloun.upce.cz/docs/books/ucebnice-sken.pdf',
'Kozák J. Úvod do analýzy ekonomických časových řad. Praha: VŠE, 1994. ISBN 80-707-9760-6.'","","","",N,6,HOD/SEM,4,HOD/SEM,0,HOD/SEM,"The course focuses on the presentation of information that are necessary to the basic and comprehensive evaluation of the data. Emphasis is placed on gaining the ability to visualize data by appropriate means. An integral part of the course is the practical application of theoretical knowledge on available data using appropriate software tools (typically R, Matlab, Excel).",Pre-Exam Credit,NO,Combined,"a) two homework assignments (corresponding instructions will be announced in class sufficiently in advance)
- 1. topic: data processing and statistical analysis (includes reproducible report and interactive visualization)
- 2. topic: signal and image processing
b) practical test (topics: regression analysis, component analysis and cluster analysis), where tasks assigned and dealt with during last corresponding lessons have to be passed
c) written test (topics: measurement theory, index analysis)","1. Introduction to measurement theory: estimation of measurement error, error propagation and uncertainties
2. Basic concepts of descriptive statistics: methods of data processing, frequency distribution (histogram, polygon)
3. The statistical analysis of univariate data: moment/ quantile measures of central tendency, variability, skewness and kurtosis
4. Statistical analysis of multivariate data: correlation, factor and cluster analysis
5. Regression analysis: linear and nonlinear regression models
6. Analysis of time series: graphical analysis, decomposition, autocorrelation, trend modeling
7. Index analysis: simple and composite individual indices, aggregate indexes 
8. Signal and image processing: filtering, transformation (Fourier, wavelets)
9. Summary of selected techniques of static and dynamic visualization","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
KAVG,KI,2024,Applications of Computational Geometry,Applications of Computational Geometry,A,N,A,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","",N,0,HOD/SEM,0,HOD/SEM,6,HOD/SEM,"Předmět se zaměřuje na vybrané algoritmy výpočetní geometrie a jejich praktické aplikace. Témata probíraná v předmětu Pokročilé datové struktury a algoritmy jsou dále rozvíjena, navíc jsou představena nová témata. Pozornost je soustředěna na konkrétní zadání z praxe, v níž mohou být dané algoritmy s úspěchem využity. Při řešení úloh se uplatní volně dostupné nástroje a knihovny (typicky v R).",Pre-Exam Credit,NO,Combined,Seminární práce,"1. - 2. Konvexní obálka, Delaunayova triangulace, regulární triangulace, kvazi-triangulace a Voroného diagram
3. - 4. Hledání nejbližšího bodu, určení bodů v polygonální oblasti a lokalizace bodu
5. - 6. Průsečíky množiny úseček, určení průniků polygonálních oblastí, rozdělení polygonu a zjednodušení polygonu
7. - 8. BSP tree, quadtree/octree a R-tree
9. Nalezení nejkratší cesty, Minkowského suma a její uplatnění
","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Mgr.,A,0,LS,0,"","","",0,0,0
KDSA,KI,2024,Algorithms and Data Structures,Algorithms and Data Structures,A,N,A,K,"",5,NO,"",'doc. RNDr. Dr. Karel Oliva','doc. RNDr. Dr. Karel Oliva' (100),2240,"'doc. RNDr. Dr. Karel Oliva', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Dr. Karel Oliva' (100), 'Mgr. Květuše Sýkorová' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","2240, 835, 2220","'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvor, Ph.D.'","'Mgr. Květuše Sýkorová' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","835, 2220","","","","","","","","","",KI/KDSY,"'Wróblewski, P. Algoritmy, datové struktury a programovací techniky. ComputerPress, Brno, 2004. ISBN 80-251-0343-9.',
'Sedgewick, R. Algoritmy v C. SoftPress, Praha, 2003. ISBN 80-86497-56-9.',
'D. E. Knuth. ""The Art of Computer Programming - Sorting and Searching"", Addison-Wesley, USA1998. ',
'Wirth, N. Algoritmy a štruktúry údajov. Alfa, Bratislava, 1989. ISBN 80-05-00153-3.',
'Keogh, J., Davidson, K. Datové struktury bez předchozích znalostí. ComputerPress, Brno, 2006. ISBN 80-251-0689-6.'","","","",N,6,HOD/SEM,6,HOD/SEM,0,HOD/SEM,"The course is targeted to the basic data structures, especially is focussed on the
list, queue, stack, linked list, hash table, index, searching tree structures and on the algorithms over this structures. Attention is paid not only to the formal description of above mentioned structures and algorithms, but also to its practical implementation. ",Exam,YES,Combined,"Credit requirements
- active participation in tutorials (attendance)
- presentation of solution of homework assignments (implementation of selected algorithms) in a chosen programming language (e.g. C#) and their explanation

The exam is oral and takes about 20-30 minutes. Theoretical knowledge and the ability to describe and analyze the selected algorithms (including determination of their properties) are examined.
","1. Terminology, time complexity, memory complexity
2. Basic data structures - array, list, stack, queue
3. Sorting algorithms O(n^2) - SelectSort, InsertSort, BubbleSort
4. Sorting algorithms O(n^k) - ShellSort, KnuthSort, HeapSort
5. Sorting algorithms O(n.log_k n) - QuickSort, MergeSort
6. Sorting algorithms O(k.n) - RadixSort, BucketSort
7. Searching algorithms - Brute Force, Binary Search, Interpolation Search
8. Indexing - Dense Index, Sparse Index, Multilevel Index
9. Hashing - Close Hash Table, Open Hash Table, Perfect Hash, Rehash
10. Tree structures - properties, Binary Tree, Binary Search Tree
11. Tree structures - Digi Tree, B-Tree
12. Balanced tree structures - AVL-tree, Red-Black tree
13. Special tree structures - Trie, Splay, Treap, Randomized BST","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
KFIS,KI,2024,Project Management and Enterprise IS,Project Management and Enterprise Information Systems,A,N,A,K,"",4,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"'RNDr. Jiří Škvor, Ph.D.', 'Ing. Štěpánka Zimová'","'RNDr. Jiří Škvor, Ph.D.' (100), 'Ing. Štěpánka Zimová' (100)","2220, 7352","'RNDr. Jiří Škvor, Ph.D.', 'Ing. Štěpánka Zimová'","'RNDr. Jiří Škvor, Ph.D.' (100), 'Ing. Štěpánka Zimová' (100)","2220, 7352","","","","","","","",KI/KMIS,"",KI/KPROJ,"'DVOŘÁK D., SIRŮČEK J., KALIŠ J.: . Mistrovství v Microsoft Project 2010. Praha, 2011. ISBN 9788025130742.',
'SCHWALBE K.: . Řízení projektů v IT. Praha, 2011. ISBN 9788025130759.',
'Taylor J. Začínáme řídit projekty. Computer Press, Praha, 2007. ISBN 978-80-251-1759-0.',
'SVOZILOVÁ A.: . Projektový management 2. Praha, 2011. ISBN 978-80-247-3611-2.',
'DVOŘÁK D., MAREČEK M., RÉPAL M.: . Řízení portfolia projektů. Praha, 2011. ISBN 9788025130759.',
'BARBEE D.: . 97 klíčových znalostí projektového manažera. Praha, 2010. ISBN 9788025128541.'","","","",N,6,HOD/SEM,4,HOD/SEM,0,HOD/SEM,"Course deals with the development of project management standards, in particular knowledge standards PMBOK and PRINCE2. The focus is on concepts, principles and techniques used in the various phases of the project including the strategic orientation and networking methods used in the project. The aim is also to clarify the development, relationships and views on individual corporate information systems, demonstrate the methods, principles and tools.",Pre-Exam Credit,NO,Combined,"5 pages seminar work.
Combined exam.
The requirements will be specified at the first lecture.","1. The characteristics of the project - the principles, objectives, principles, properties and characteristics of the project.
2. Overview of the PMBOK knowledge areas and process groups, project cycle, IPMA Competence Baseline-competence, group, area, the certification process.
3. The PRINCE2 overview knowledge areas and process groups, comparison of the standards.
4. The selected processes, project management, group interaction, management processes and stages of the projects, the organizational structure of the project.
5. Strategic situational analysis projects - meaning, structure, analysis, methods.
6. The SWOT analysis and the logical framework method - principle, realization, usage.
7. Network methods in the planning phase of the project - network diagrams, relationships. CPM - principle, method of implementation, calculations.
8. The PERT Method - principle, realization, comparisons, calculations, and a practical solution analyses and methods, creation of scenarios, planning resources, the search for reserves, Gantt charts.
9. MS Project - basic orientation, editing of data, the search for the critical path.
10. The evaluation of the model of the project, preparation of analyses, an estimate of the resources constraint, the calculation of the critical path.
11. The corporate system in the environment of the company.
12. The functionality and data view of the corporate information systems.
13. The procedural view of the corporate information system.
14. The supply and the trends in corporate information systems and the importance of e-business.","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
KMES,KI,2024,Interdisciplinary Relationships,Interdisciplinary Relationships,A,N,A,K,"",1,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","",N,0,HOD/SEM,0,HOD/SEM,4,HOD/SEM,"V rámci předmětu odborníci z ostatních fakult univerzity, ale také z aplikační sféry a veřejné správy prezentují různé mezioborové souvislosti a klíčová témata současnosti. Typicky představí svou činnost ostatní součásti UJEP například v oblasti využití umělé inteligence, virtuální reality, bezpilotních letadel či informačních systémů v různých oborech včetně umění a sportu, v oblasti etiky umělé inteligence či v oblasti dokumentace a digitalizace (příkladně kulturního dědictví).
V souvislosti s celkovým zaměřením studijního programu je v rámci předmětu věnována pozornost také etickým a společensko-politickým aspektům zpracování a interpretace dat včetně nasazení strojového učení (problém odpovědnosti, zneužití dat, datová etika, personalizovaný marketing, ovlivňování veřejného mínění, sociální skóre, zkreslení daná kulturními předsudky a jejich digitalizace aj.).
Nezbytnou součástí předmětu je také představení témat souvisejících s přípravou studentů na předmět Prezentace projektu (např. metodiky a nástroje, jako jsou Lean Startup, Lean Canvas a Human-Centred Design).
",Pre-Exam Credit,NO,Combined,Aktivní účast na seminářích,"","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Mgr.,A,0,LS,0,"","","",0,0,0
KOPRE,KI,2024,Professional Presentation,"Professional Presentation
",A,N,A,K,"",1,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'Dr. Hossein Moosaei, Ph.D.', 'Ricardo Rodriguez Jorge, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'Dr. Hossein Moosaei, Ph.D.' (100), 'Ricardo Rodriguez Jorge, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","9114, 8514, 2220","","","","","","","","","","","",N,0,HOD/SEM,0,HOD/SEM,4,HOD/SEM,"",Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,0,LS,0,"","","",0,0,0
KPEM,KI,2024,Essentials of Law and Economics for IT,"Essentials of Law and Economics for IT
",A,N,A,K,"",1,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","",N,0,HOD/SEM,0,HOD/SEM,4,HOD/SEM,"",Pre-Exam Credit,NO,Combined,"Active participation, short presentation (5 to 10 minutes) on a given topic","Cílem předmětu je uvést studenty do vybraných partií práva a ekonomických výpočtů (v návaznosti na předměty Podniková ekonomika a v souvislosti s předmětem Projektové řízení), se kterými se jako informatici (nehledě, zda v pozici řadového zaměstnance, vedoucího pracovníka, podnikatele, freelancera apod.) mohou setkat.

Základy práva
1.	úvod do práva obecně (prameny práva a právní řád v ČR, forma/hierarchie právních norem, jejich platnost a účinnost, právní vztahy, právní odpovědnost, právní informatika a informační systémy)
2.	pojem, předmět, prameny, systém a normy občanského práva hmotného a procesního a obchodního práva
3.	základy a principy smluvního práva (registr smluv, kupní smlouva, smlouva o dílo aj.), elektronický podpis a elektronická kontraktace
4.	ochrana duševního vlastnictví (autorské právo a právo z průmyslového vlastnictví: autorské dílo, ochranné známky, patenty, vynálezy, průmyslové a užitné vzory, licence k počítačovým programům a databázím, obchodní tajemství - NDA)
5.	úvod do pracovního práva (pracovní poměr, jeho vznik, změny a skončení, práva a povinnosti zaměstnance a zaměstnavatele, DPP, DPČ)
6.	ochrana dat a soukromí, bezpečnost v IT (GDPR, zákon o zpracování osobních údajů, zákon o ochraně osobních údajů, zákon o kybernetické bezpečnosti aj.)
7.	počítačová kriminalita

Ekonomické výpočty
1.	členění nákladů (přímé/nepřímé, osobní/věcné apod.) a jejich kalkulace
2.	účetní třídění majetku, účetní a daňové odpisy a jejich výpočet
3.	různé druhy daní a jejich výpočet (výpočet DPH, čisté mzdy aj.)
4. - 5. rozpočet a finanční plán projektu
6.	business model, cenotvorba a cenová politika, cenová nabídka
7.	veřejné zakázky (druhy a režimy veřejných zakázek), kalkulace na straně zadavatele a účastníka zadávacího řízení
","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,0,LS,0,"","","",0,0,0
KPS2,KI,2024,Project Seminar II,"Project Seminar II
",A,N,A,K,"",5,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","",KI/KPS1,"","","","","","",N,0,HOD/SEM,0,HOD/SEM,6,HOD/SEM,"",Exam,YES,Combined,"","","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,0,LS,0,"","","",0,0,0
KSOC,KI,2024,Soft Computing,Soft Computing,A,N,A,K,"",5,NO,"","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'RNDr. Petr Kubera, Ph.D.' (100), 'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100)","650, 2239","'prof. Sergii Babichev, DSc.', 'Ing. Mgr. Pavel Beránek', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'Ing. Mgr. Pavel Beránek' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 6973, 650, 2220","","","","","","","",KI/KPYR,"",KI/MNS,"","","","",N,6,HOD/SEM,6,HOD/SEM,2,HOD/SEM,"Předmět je zaměřen na vybrané partie z oblasti Soft Computingu, jakou jsou fuzzy logika a vybrané modely strojového učení (rozhodovací stromy, support vector machines, neuronové sítě a Bayesovské sítě). Poskytuje jak teoretický úvod potřebný pro předměty navazující a rozvíjející, tak i praktické seznámení s aktuálně používanými frameworky a knihovnami (Python). Přednášky jsou zaměřeny na teoretický rozbor problematiky s ohledem na možnosti aplikace. Cvičení jsou zaměřena jak na vlastní návrh a implementaci algoritmů, tak na předání praktických zkušeností při použití softwarových nástrojů.",Exam,YES,Combined,"Zápočet: tvorba a obhájení seminární práce na zadané téma
Zkouška: ústní, zaměřená na ověření teoretických znalostí
","1. Overview of machine learning tasks: classification, regression, prediction and areas of application
2. Decision trees: constructions, metrics
3. - 4. Support vector method (SVM): formulation, soft margin, solution, use of cores, core trick, multiclass classification
5. Introduction to neural networks: types of networks and their architecture, types of learning
6. - 7. Multilayer perceptron (MLP) networks: perceptron, activation functions and their types, layers and learning, relearning, regularization
8. Reinforcement learning: use and overview of algorithms with a focus on Q-learning
9. Metaalgorithms of machine learning: grouping of weak classifiers, random forests, boost, AdaBoost
10. Fuzzy set: introduction, properties (value range, height, carrier, core), sections, affiliation
11. Fuzzy sets and their extensions: overview of set and propositional operations and their properties, fuzzy numbers and fuzzy relations
12. Application of fuzzy logic: process of fuzzification and defuzzification, linguistic variables
13. Bayesian statistics: definition of basic terms (distribution, a priori, posterior), Bayesian theorem and its use
14. Bayesian networks (BN): graph representation, model probability distribution (string rule), overview of BN learning algorithms


","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Mgr.,A,0,LS,0,"","","",0,0,0
KSP2,KI,2024,Semester Project II,Semester Project II,A,N,A,K,"",6,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.'",3521,"","","","","","","'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'Mgr. Jiří Fišer, Ph.D.' (100), 'RNDr. Jan Krejčí, Ph.D.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 251, 2776, 650, 3521, 2220","","","","",KI/KSP1,"",KI/KSP3,"","","","",N,0,HOD/SEM,0,HOD/SEM,16,HOD/SEM,"",Pre-Exam Credit,NO,Combined,"Účast na projektových schůzkách s prezentací dílčích výstupů a plánů dalšího postupu, průběžné plnění zadaných úkolů
Zápočet uděluje řešitel projektu.
","Předmět tvoří prostřední člen v řadě tří celosemestrálních projektově orientovaných předmětů (Semestrální projekt I až III). 
V této fázi se výuka soustřeďuje na následující činnosti:
-	samostatné řešení dílčích projektových úkolů,
-	průběžné testování a kontrola řešení,
-	průběžné vytváření a správa dokumentace,
-	využívání komunikačních a VCS systémů pro sdílení informací uvnitř týmu,
-	organizace týmových meetingů s prezentací dílčích výstupů a plánů dalšího postupu.

Studenti budou ve všech těchto činnostech podporováni odborníky z praxe a/nebo akademickými pracovníky. Cílem dílčích úkolů je jednak motivovat studenty k hlubšímu studiu a pochopení dané problematiky, jednak je více začlenit do přípravy zejména aplikačních výstupů. Prezentací dílčích výstupů svým kolegům z týmu studenti procvičí komunikační schopnosti a dovednosti, jako je předávání informací v ucelené formě. V rámci seminářů bude rozebírán stav a vývoj projektu (kontrola a revize stanoveného věcného plánu a časového harmonogramu).
","","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Mgr.,A,0,LS,0,"","","",0,0,0
KVM,KI,2024,Quantitative Management,Quantitative Management,A,N,A,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","","","","","","","",N,2,HOD/TYD,0,HOD/TYD,0,HOD/TYD,"Kurz je zaměřen na vybrané modely v ekonomii a managementu, a to zejména na modely stochastické a simulační. Student se seznámí s vybranými partiemi operačního výzkumu, ekonofyziky a teorie her.

Tento kurz byl inovován v rámci projektu CZ.1.07/2.2.00/28.0296 ""Mezioborové vazby a podpora praxe v přírodovědných a technických studijních programech UJEP""",Pre-Exam Credit,NO,Combined,"- prezentace řešení šesti simulačních úloh ve vhodném programovacím jazyce a jejich vysvětlení
- prezentace analytického řešení dvou vybraných úloh
- prokázání teoretických znalostí (důležitých pojmů, tvrzení apod.) v rámci přezkoušení""
","A Stochastické procesy a simulační modely
-- 1. Markovovy řetězce a rozhodovací procesy
-- 2. Generování náhodných čísel a simulace metodou Monte Carlo 
B Systémy hromadné obsluhy
-- 1. Fronta a její režim, otevřené/ uzavřené systémy, vstupní proces a jeho intenzita, kanály obsluhy a intenzita/doba obsluhy, (Kendallova) klasifikace systémů hromadné obsluhy
-- 2. modelování vybraných systémů hromadné obsluhy
C Modely řízení zásob 
-- 1. Charakteristika systémů řízení zásob a klasifikace modelů, vybrané deterministické systémy
-- 2. Vybrané stochastické modely zásob
D Modely obnovy
E Ekonofyzikální modely
-- 1. Modelování rozdělení bohatství
-- 2. Modelování dynamiky cen akcií
F Teorie her
-- 1. Základní pojmy teorie her (hra, hráč, ryzí/smíšená strategie, výplatní funkce, aj.), příklady her v normálním a rozvinutém tvaru, Nashova rovnováha a její určení
-- 2. Hry opakované, stochastické, Bayesovské a koaliční""
","- znalost základních pojmů z ekonomie
- základní dovednosti z programování a algoritmizace
- statistického zpracování dat a počtu pravděpodobnosti","","","",Czech,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
